Code,Glyph,Description,CharacterSet,is_unicode,CodeEscaped,ASCII
U+00A1,A!,Inverted Exclamation Mark,Table_Latin-1_Supplement,TRUE,\u00A1,!
U+00A2,Acent,Cent sign,Table_Latin-1_Supplement,TRUE,\u00A2,cent
U+00A3,Apound,Pound sign,Table_Latin-1_Supplement,TRUE,\u00A3,pound
U+00A4,Acurrency,Currency sign,Table_Latin-1_Supplement,TRUE,\u00A4,currency
U+00A5,Ayen,Yen sign,Table_Latin-1_Supplement,TRUE,\u00A5,yen
U+00A6,A|,Broken bar,Table_Latin-1_Supplement,TRUE,\u00A6,|
U+00A7,AS,Section sign,Table_Latin-1_Supplement,TRUE,\u00A7,S
U+00A8,AXxXunicodeXxX,Diaeresis (Umlaut),Table_Latin-1_Supplement,TRUE,\u00A8,XunicodeX
U+00A9,AC,Copyright sign,Table_Latin-1_Supplement,TRUE,\u00A9,C
U+00AA,Aa,Feminine Ordinal Indicator,Table_Latin-1_Supplement,TRUE,\u00AA,a
U+00AB,A",Left-pointing double angle quotation mark,Table_Latin-1_Supplement,TRUE,\u00AB,""""
U+00AC,Anot,Not sign,Table_Latin-1_Supplement,TRUE,\u00AC,not
U+00AE,AR,Registered sign,Table_Latin-1_Supplement,TRUE,\u00AE,R
U+00AF,A-,macron,Table_Latin-1_Supplement,TRUE,\u00AF,-
U+00B0,Adeg,Degree sign,Table_Latin-1_Supplement,TRUE,\u00B0,deg
U+00B1,A+-,Plus-minus sign,Table_Latin-1_Supplement,TRUE,\u00B1,+-
U+00B2,A2,Superscript two,Table_Latin-1_Supplement,TRUE,\u00B2,2
U+00B3,A3,Superscript three,Table_Latin-1_Supplement,TRUE,\u00B3,3
U+00B4,A^,Acute accent,Table_Latin-1_Supplement,TRUE,\u00B4,^
U+00B5,Amu,Micro sign,Table_Latin-1_Supplement,TRUE,\u00B5,mu
U+00B6,Aparagraph,Pilcrow sign,Table_Latin-1_Supplement,TRUE,\u00B6,paragraph
U+00B7,A.,Middle dot,Table_Latin-1_Supplement,TRUE,\u00B7,.
U+00B8,A,,Cedilla,Table_Latin-1_Supplement,TRUE,\u00B8,","
U+00B9,A1,Superscript one,Table_Latin-1_Supplement,TRUE,\u00B9,1
U+00BA,Ao,Masculine ordinal indicator,Table_Latin-1_Supplement,TRUE,\u00BA,o
U+00BB,A",Right-pointing double angle quotation mark,Table_Latin-1_Supplement,TRUE,\u00BB,""""
U+00BC,A1/4,Vulgar fraction one quarter,Table_Latin-1_Supplement,TRUE,\u00BC,1/4
U+00BD,A1/2,Vulgar fraction one half,Table_Latin-1_Supplement,TRUE,\u00BD,1/2
U+00BE,A3/4,Vulgar fraction three quarters,Table_Latin-1_Supplement,TRUE,\u00BE,3/4
U+00BF,A?,Inverted Question Mark,Table_Latin-1_Supplement,TRUE,\u00BF,?
U+00C0,AXxXunicodeXxX,Latin Capital Letter A with grave,Table_Latin-1_Supplement,TRUE,\u00C0,A
U+00C1,AXxXunicodeXxX,Latin Capital letter A with acute,Table_Latin-1_Supplement,TRUE,\u00C1,A
U+00C2,A,,Latin Capital letter A with circumflex,Table_Latin-1_Supplement,TRUE,\u00C2,A
U+00C3,Af,Latin Capital letter A with tilde,Table_Latin-1_Supplement,TRUE,\u00C3,A
U+00C4,A",Latin Capital letter A with diaeresis,Table_Latin-1_Supplement,TRUE,\u00C4,A
U+00C5,A...,Latin Capital letter A with ring above,Table_Latin-1_Supplement,TRUE,\u00C5,A
U+00C6,At,Latin Capital letter At,Table_Latin-1_Supplement,TRUE,\u00C6,A
U+00C7,Att,Latin Capital letter C with cedilla,Table_Latin-1_Supplement,TRUE,\u00C7,C
U+00C8,A^,Latin Capital letter E with grave,Table_Latin-1_Supplement,TRUE,\u00C8,E
U+00C9,A%o,Latin Capital letter E with acute,Table_Latin-1_Supplement,TRUE,\u00C9,E
U+00CA,AS,Latin Capital letter E with circumflex,Table_Latin-1_Supplement,TRUE,\u00CA,E
U+00CB,A",Latin Capital letter E with diaeresis,Table_Latin-1_Supplement,TRUE,\u00CB,E
U+00CC,AOE,Latin Capital letter I with grave,Table_Latin-1_Supplement,TRUE,\u00CC,I
U+00CD,AXxXunicodeXxX,Latin Capital letter I with acute,Table_Latin-1_Supplement,TRUE,\u00CD,I
U+00CE,AZ,Latin Capital letter I with circumflex,Table_Latin-1_Supplement,TRUE,\u00CE,I
U+00CF,AXxXunicodeXxX,Latin Capital letter I with diaeresis,Table_Latin-1_Supplement,TRUE,\u00CF,I
U+00D0,AXxXunicodeXxX,Latin Capital letter Eth,Table_Latin-1_Supplement,TRUE,\u00D0,Eth
U+00D1,A',Latin Capital letter N with tilde,Table_Latin-1_Supplement,TRUE,\u00D1,N
U+00D2,A',Latin Capital letter O with grave,Table_Latin-1_Supplement,TRUE,\u00D2,O
U+00D3,A",Latin Capital letter O with acute,Table_Latin-1_Supplement,TRUE,\u00D3,O
U+00D4,A",Latin Capital letter O with circumflex,Table_Latin-1_Supplement,TRUE,\u00D4,O
U+00D5,A.,Latin Capital letter O with tilde,Table_Latin-1_Supplement,TRUE,\u00D5,O
U+00D6,A--,Latin Capital letter O with diaeresis,Table_Latin-1_Supplement,TRUE,\u00D6,O
U+00D7,A---,Multiplication sign,Table_Latin-1_Supplement,TRUE,\u00D7,*
U+00D8,A~,Latin Capital letter O with stroke,Table_Latin-1_Supplement,TRUE,\u00D8,O
U+00D9,AXxXunicodeXxX,Latin Capital letter U with grave,Table_Latin-1_Supplement,TRUE,\u00D9,U
U+00DA,As,Latin Capital letter U with acute,Table_Latin-1_Supplement,TRUE,\u00DA,U
U+00DB,A",Latin Capital Letter U with circumflex,Table_Latin-1_Supplement,TRUE,\u00DB,U
U+00DC,Aoe,Latin Capital Letter U with diaeresis,Table_Latin-1_Supplement,TRUE,\u00DC,U
U+00DD,AXxXunicodeXxX,Latin Capital Letter Y with acute,Table_Latin-1_Supplement,TRUE,\u00DD,Y
U+00DE,Az,Latin Capital Letter Thorn,Table_Latin-1_Supplement,TRUE,\u00DE,Th
U+00DF,AY,Latin Small Letter sharp S,Table_Latin-1_Supplement,TRUE,\u00DF,S
U+00E0,AXxXunicodeXxX,Latin Small Letter A with grave,Table_Latin-1_Supplement,TRUE,\u00E0,a
U+00E1,A!,Latin Small Letter A with acute,Table_Latin-1_Supplement,TRUE,\u00E1,a
U+00E2,Acent,Latin Small Letter A with circumflex,Table_Latin-1_Supplement,TRUE,\u00E2,a
U+00E3,Apound,Latin Small Letter A with tilde,Table_Latin-1_Supplement,TRUE,\u00E3,a
U+00E4,Acurrency,Latin Small Letter A with diaeresis,Table_Latin-1_Supplement,TRUE,\u00E4,a
U+00E5,Ayen,Latin Small Letter A with ring above,Table_Latin-1_Supplement,TRUE,\u00E5,a
U+00E6,A|,Latin Small Letter At,Table_Latin-1_Supplement,TRUE,\u00E6,a
U+00E7,AS,Latin Small Letter C with cedilla,Table_Latin-1_Supplement,TRUE,\u00E7,c
U+00E8,AXxXunicodeXxX,Latin Small Letter E with grave,Table_Latin-1_Supplement,TRUE,\u00E8,e
U+00E9,AC,Latin Small Letter E with acute,Table_Latin-1_Supplement,TRUE,\u00E9,e
U+00EA,Aa,Latin Small Letter E with circumflex,Table_Latin-1_Supplement,TRUE,\u00EA,e
U+00EB,A",Latin Small Letter E with diaeresis,Table_Latin-1_Supplement,TRUE,\u00EB,e
U+00EC,Anot,Latin Small Letter I with grave,Table_Latin-1_Supplement,TRUE,\u00EC,i
U+00ED,AXxXunicodeXxX,Latin Small Letter I with acute,Table_Latin-1_Supplement,TRUE,\u00ED,i
U+00EE,AR,Latin Small Letter I with circumflex,Table_Latin-1_Supplement,TRUE,\u00EE,i
U+00EF,A-,Latin Small Letter I with diaeresis,Table_Latin-1_Supplement,TRUE,\u00EF,i
U+00F0,Adeg,Latin Small Letter Eth,Table_Latin-1_Supplement,TRUE,\u00F0,eth
U+00F1,A+-,Latin Small Letter N with tilde,Table_Latin-1_Supplement,TRUE,\u00F1,n
U+00F2,A2,Latin Small Letter O with grave,Table_Latin-1_Supplement,TRUE,\u00F2,o
U+00F3,A3,Latin Small Letter O with acute,Table_Latin-1_Supplement,TRUE,\u00F3,o
U+00F4,A^,Latin Small Letter O with circumflex,Table_Latin-1_Supplement,TRUE,\u00F4,o
U+00F5,Amu,Latin Small Letter O with tilde,Table_Latin-1_Supplement,TRUE,\u00F5,o
U+00F6,Aparagraph,Latin Small Letter O with diaeresis,Table_Latin-1_Supplement,TRUE,\u00F6,o
U+00F7,A.,Division sign,Table_Latin-1_Supplement,TRUE,\u00F7,/
U+00F8,A,,Latin Small Letter O with stroke,Table_Latin-1_Supplement,TRUE,\u00F8,o
U+00F9,A1,Latin Small Letter U with grave,Table_Latin-1_Supplement,TRUE,\u00F9,u
U+00FA,Ao,Latin Small Letter U with acute,Table_Latin-1_Supplement,TRUE,\u00FA,u
U+00FB,A",Latin Small Letter U with circumflex,Table_Latin-1_Supplement,TRUE,\u00FB,u
U+00FC,A1/4,Latin Small Letter U with diaeresis,Table_Latin-1_Supplement,TRUE,\u00FC,u
U+00FD,A1/2,Latin Small Letter Y with acute,Table_Latin-1_Supplement,TRUE,\u00FD,y
U+00FE,A3/4,Latin Small Letter Thorn,Table_Latin-1_Supplement,TRUE,\u00FE,th
U+00FF,A?,Latin Small Letter Y with diaeresis,Table_Latin-1_Supplement,TRUE,\u00FF,y
U+0100,AXxXunicodeXxX,Latin Capital Letter A with macron,Table_Latin_Extended-A,TRUE,\u0100,A
U+0101,AXxXunicodeXxX,Latin Small Letter A with macron,Table_Latin_Extended-A,TRUE,\u0101,a
U+0102,A,,Latin Capital Letter A with breve,Table_Latin_Extended-A,TRUE,\u0102,A
U+0103,Af,Latin Small Letter A with breve,Table_Latin_Extended-A,TRUE,\u0103,a
U+0104,A",Latin Capital Letter A with ogonek,Table_Latin_Extended-A,TRUE,\u0104,A
U+0105,A...,Latin Small Letter A with ogonek,Table_Latin_Extended-A,TRUE,\u0105,a
U+0106,At,Latin Capital Letter C with acute,Table_Latin_Extended-A,TRUE,\u0106,C
U+0107,Att,Latin Small Letter C with acute,Table_Latin_Extended-A,TRUE,\u0107,c
U+0108,A^,Latin Capital Letter C with circumflex,Table_Latin_Extended-A,TRUE,\u0108,C
U+0109,A%o,Latin Small Letter C with circumflex,Table_Latin_Extended-A,TRUE,\u0109,c
U+010A,AS,Latin Capital Letter C with dot above,Table_Latin_Extended-A,TRUE,\u010A,C
U+010B,A",Latin Small Letter C with dot above,Table_Latin_Extended-A,TRUE,\u010B,c
U+010C,AOE,Latin Capital Letter C with caron,Table_Latin_Extended-A,TRUE,\u010C,C
U+010D,AXxXunicodeXxX,Latin Small Letter C with caron,Table_Latin_Extended-A,TRUE,\u010D,c
U+010E,AZ,Latin Capital Letter D with caron,Table_Latin_Extended-A,TRUE,\u010E,D
U+010F,AXxXunicodeXxX,Latin Small Letter D with caron,Table_Latin_Extended-A,TRUE,\u010F,d
U+0110,AXxXunicodeXxX,Latin Capital Letter D with stroke,Table_Latin_Extended-A,TRUE,\u0110,D
U+0111,A',Latin Small Letter D with stroke,Table_Latin_Extended-A,TRUE,\u0111,d
U+0112,A',Latin Capital Letter E with macron,Table_Latin_Extended-A,TRUE,\u0112,E
U+0113,A",Latin Small Letter E with macron,Table_Latin_Extended-A,TRUE,\u0113,e
U+0114,A",Latin Capital Letter E with breve,Table_Latin_Extended-A,TRUE,\u0114,E
U+0115,A.,Latin Small Letter E with breve,Table_Latin_Extended-A,TRUE,\u0115,e
U+0116,A--,Latin Capital Letter E with dot above,Table_Latin_Extended-A,TRUE,\u0116,E
U+0117,A---,Latin Small Letter E with dot above,Table_Latin_Extended-A,TRUE,\u0117,e
U+0118,A~,Latin Capital Letter E with ogonek,Table_Latin_Extended-A,TRUE,\u0118,E
U+0119,AXxXunicodeXxX,Latin Small Letter E with ogonek,Table_Latin_Extended-A,TRUE,\u0119,e
U+011A,As,Latin Capital Letter E with caron,Table_Latin_Extended-A,TRUE,\u011A,E
U+011B,A",Latin Small Letter E with caron,Table_Latin_Extended-A,TRUE,\u011B,e
U+011C,Aoe,Latin Capital Letter G with circumflex,Table_Latin_Extended-A,TRUE,\u011C,G
U+011D,AXxXunicodeXxX,Latin Small Letter G with circumflex,Table_Latin_Extended-A,TRUE,\u011D,g
U+011E,Az,Latin Capital Letter G with breve,Table_Latin_Extended-A,TRUE,\u011E,G
U+011F,AY,Latin Small Letter G with breve,Table_Latin_Extended-A,TRUE,\u011F,g
U+0120,AXxXunicodeXxX,Latin Capital Letter G with dot above,Table_Latin_Extended-A,TRUE,\u0120,G
U+0121,A!,Latin Small Letter G with dot above,Table_Latin_Extended-A,TRUE,\u0121,g
U+0122,Acent,Latin Capital Letter G with cedilla,Table_Latin_Extended-A,TRUE,\u0122,G
U+0123,Apound,Latin Small Letter G with cedilla,Table_Latin_Extended-A,TRUE,\u0123,g
U+0124,Acurrency,Latin Capital Letter H with circumflex,Table_Latin_Extended-A,TRUE,\u0124,H
U+0125,Ayen,Latin Small Letter H with circumflex,Table_Latin_Extended-A,TRUE,\u0125,h
U+0126,A|,Latin Capital Letter H with stroke,Table_Latin_Extended-A,TRUE,\u0126,H
U+0127,AS,Latin Small Letter H with stroke,Table_Latin_Extended-A,TRUE,\u0127,h
U+0128,AXxXunicodeXxX,Latin Capital Letter I with tilde,Table_Latin_Extended-A,TRUE,\u0128,I
U+0129,AC,Latin Small Letter I with tilde,Table_Latin_Extended-A,TRUE,\u0129,i
U+012A,Aa,Latin Capital Letter I with macron,Table_Latin_Extended-A,TRUE,\u012A,I
U+012B,A",Latin Small Letter I with macron,Table_Latin_Extended-A,TRUE,\u012B,i
U+012C,Anot,Latin Capital Letter I with breve,Table_Latin_Extended-A,TRUE,\u012C,I
U+012D,AXxXunicodeXxX,Latin Small Letter I with breve,Table_Latin_Extended-A,TRUE,\u012D,i
U+012E,AR,Latin Capital Letter I with ogonek,Table_Latin_Extended-A,TRUE,\u012E,I
U+012F,A-,Latin Small Letter I with ogonek,Table_Latin_Extended-A,TRUE,\u012F,i
U+0130,Adeg,Latin Capital Letter I with dot above,Table_Latin_Extended-A,TRUE,\u0130,I
U+0131,A+-,Latin Small Letter dotless I,Table_Latin_Extended-A,TRUE,\u0131,i
U+0132,A2,Latin Capital Ligature IJ,Table_Latin_Extended-A,TRUE,\u0132,IJ
U+0133,A3,Latin Small Ligature IJ,Table_Latin_Extended-A,TRUE,\u0133,ij
U+0134,A^,Latin Capital Letter J with circumflex,Table_Latin_Extended-A,TRUE,\u0134,J
U+0135,Amu,Latin Small Letter J with circumflex,Table_Latin_Extended-A,TRUE,\u0135,j
U+0136,Aparagraph,Latin Capital Letter K with cedilla,Table_Latin_Extended-A,TRUE,\u0136,K
U+0137,A.,Latin Small Letter K with cedilla,Table_Latin_Extended-A,TRUE,\u0137,k
U+0138,A,,Latin Small Letter Kra,Table_Latin_Extended-A,TRUE,\u0138,kra
U+0139,A1,Latin Capital Letter L with acute,Table_Latin_Extended-A,TRUE,\u0139,L
U+013A,Ao,Latin Small Letter L with acute,Table_Latin_Extended-A,TRUE,\u013A,l
U+013B,A",Latin Capital Letter L with cedilla,Table_Latin_Extended-A,TRUE,\u013B,L
U+013C,A1/4,Latin Small Letter L with cedilla,Table_Latin_Extended-A,TRUE,\u013C,l
U+013D,A1/2,Latin Capital Letter L with caron,Table_Latin_Extended-A,TRUE,\u013D,L
U+013E,A3/4,Latin Small Letter L with caron,Table_Latin_Extended-A,TRUE,\u013E,l
U+013F,A?,Latin Capital Letter L with middle dot,Table_Latin_Extended-A,TRUE,\u013F,L
U+0140,AXxXunicodeXxX,Latin Small Letter L with middle dot,Table_Latin_Extended-A,TRUE,\u0140,l
U+0141,AXxXunicodeXxX,Latin Capital Letter L with stroke,Table_Latin_Extended-A,TRUE,\u0141,L
U+0142,A,,Latin Small Letter L with stroke,Table_Latin_Extended-A,TRUE,\u0142,l
U+0143,Af,Latin Capital Letter N with acute,Table_Latin_Extended-A,TRUE,\u0143,N
U+0144,A",Latin Small Letter N with acute,Table_Latin_Extended-A,TRUE,\u0144,n
U+0145,A...,Latin Capital Letter N with cedilla,Table_Latin_Extended-A,TRUE,\u0145,N
U+0146,At,Latin Small Letter N with cedilla,Table_Latin_Extended-A,TRUE,\u0146,n
U+0147,Att,Latin Capital Letter N with caron,Table_Latin_Extended-A,TRUE,\u0147,N
U+0148,A^,Latin Small Letter N with caron,Table_Latin_Extended-A,TRUE,\u0148,n
U+0149,A%o,Latin Small Letter N preceded by apostrophe[1],Table_Latin_Extended-A,TRUE,\u0149,'n
U+014A,AS,Latin Capital Letter Eng,Table_Latin_Extended-A,TRUE,\u014A,Eng
U+014B,A",Latin Small Letter Eng,Table_Latin_Extended-A,TRUE,\u014B,eng
U+014C,AOE,Latin Capital Letter O with macron,Table_Latin_Extended-A,TRUE,\u014C,O
U+014D,AXxXunicodeXxX,Latin Small Letter O with macron,Table_Latin_Extended-A,TRUE,\u014D,o
U+014E,AZ,Latin Capital Letter O with breve,Table_Latin_Extended-A,TRUE,\u014E,O
U+014F,AXxXunicodeXxX,Latin Small Letter O with breve,Table_Latin_Extended-A,TRUE,\u014F,o
U+0150,AXxXunicodeXxX,Latin Capital Letter O with double acute,Table_Latin_Extended-A,TRUE,\u0150,O
U+0151,A',Latin Small Letter O with double acute,Table_Latin_Extended-A,TRUE,\u0151,o
U+0152,A',Latin Capital Ligature OE,Table_Latin_Extended-A,TRUE,\u0152,OE
U+0153,A",Latin Small Ligature OE,Table_Latin_Extended-A,TRUE,\u0153,oe
U+0154,A",Latin Capital Letter R with acute,Table_Latin_Extended-A,TRUE,\u0154,R
U+0155,A.,Latin Small Letter R with acute,Table_Latin_Extended-A,TRUE,\u0155,r
U+0156,A--,Latin Capital Letter R with cedilla,Table_Latin_Extended-A,TRUE,\u0156,R
U+0157,A---,Latin Small Letter R with cedilla,Table_Latin_Extended-A,TRUE,\u0157,r
U+0158,A~,Latin Capital Letter R with caron,Table_Latin_Extended-A,TRUE,\u0158,R
U+0159,AXxXunicodeXxX,Latin Small Letter R with caron,Table_Latin_Extended-A,TRUE,\u0159,r
U+015A,As,Latin Capital Letter S with acute,Table_Latin_Extended-A,TRUE,\u015A,S
U+015B,A",Latin Small Letter S with acute,Table_Latin_Extended-A,TRUE,\u015B,s
U+015C,Aoe,Latin Capital Letter S with circumflex,Table_Latin_Extended-A,TRUE,\u015C,S
U+015D,AXxXunicodeXxX,Latin Small Letter S with circumflex,Table_Latin_Extended-A,TRUE,\u015D,s
U+015E,Az,Latin Capital Letter S with cedilla,Table_Latin_Extended-A,TRUE,\u015E,S
U+015F,AY,Latin Small Letter S with cedilla,Table_Latin_Extended-A,TRUE,\u015F,s
U+0160,AXxXunicodeXxX,Latin Capital Letter S with caron,Table_Latin_Extended-A,TRUE,\u0160,S
U+0161,A!,Latin Small Letter S with caron,Table_Latin_Extended-A,TRUE,\u0161,s
U+0162,Acent,Latin Capital Letter T with cedilla,Table_Latin_Extended-A,TRUE,\u0162,T
U+0163,Apound,Latin Small Letter T with cedilla,Table_Latin_Extended-A,TRUE,\u0163,t
